gisaid_epi_isl,date,segment,originating_lab,submitting_lab,authors,url,date_submitted
EPI_ISL_430798,2020-03-28,genome,"Departamento de Biologia y genetica molecular, IACA Laboratorios.",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430799,2020-03-30,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430800,2020-03-30,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430801,2020-03-31,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430802,2020-03-31,genome,"Departamento de Biologia y genetica molecular, IACA Laboratorios.",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430803,2020-04-01,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430804,2020-04-01,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430805,2020-04-01,genome,"Departamento de Biologia y genetica molecular, IACA Laboratorios.",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430806,2020-04-01,genome,"Departamento de Biologia y genetica molecular, IACA Laboratorios.",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430807,2020-04-02,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430808,2020-04-03,genome,"Departamento de Biologia y genetica molecular, IACA Laboratorios.",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430809,2020-04-04,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430810,2020-04-07,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430811,2020-04-11,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430812,2020-04-11,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430813,2020-04-11,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430814,2020-04-17,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430815,2020-04-18,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430816,2020-04-18,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430817,2020-04-18,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430818,2020-04-19,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_407893,2020-01-24,genome,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,https://www.gisaid.org,2020-02-06
EPI_ISL_408976,2020-01-22,genome,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-02-11
EPI_ISL_408977,2020-01-25,genome,"Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick",NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney,Eden et al,https://www.gisaid.org,2020-02-11
EPI_ISL_417030,2020-01-24,genome,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,https://www.gisaid.org,2020-03-24
EPI_ISL_412975,2020-02-28,genome,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,https://www.gisaid.org,2020-03-02
EPI_ISL_413213,2020-02-29,genome,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,https://www.gisaid.org,2020-03-04
EPI_ISL_413214,2020-02-29,genome,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,https://www.gisaid.org,2020-03-04
EPI_ISL_413594,2020-02-28,genome,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-03-08
EPI_ISL_413595,2020-02-28,genome,Centre for Infectious Diseases and Microbiology Laboratory Services,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-03-08
EPI_ISL_413596,2020-02-28,genome,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-03-08
EPI_ISL_427722,2020-03-18,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427656,2020-03-11,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Bachmann et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427677,2020-03-16,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427754,2020-03-24,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-04-19
EPI_ISL_413597,2020-03-02,genome,Centre for Infectious Diseases and Microbiology- Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-03-08
EPI_ISL_427741,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427661,2020-03-16,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sim et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427724,2020-03-19,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427669,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-04-19
EPI_ISL_413598,2020-03-04,genome,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,https://www.gisaid.org,2020-03-08
EPI_ISL_427679,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427688,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sim et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427780,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427782,2020-03-25,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427794,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427689,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,https://www.gisaid.org,2020-04-19
EPI_ISL_413599,2020-03-04,genome,Centre for Infectious Diseases and Microbiology - Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-03-08
EPI_ISL_427783,2020-03-25,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sim et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427787,2020-03-26,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Bachmann et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427742,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427673,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427700,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gall et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427761,2020-03-24,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427795,2020-03-24,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427799,2020-03-17,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427737,2020-03-20,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427708,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427682,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427683,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427775,2020-03-25,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427653,2020-03-08,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427652,2020-03-09,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427719,2020-03-21,genome,"ACT Pathology, The Canberra Hospital",NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427735,2020-03-18,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427784,2020-03-20,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427715,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427771,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427739,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427676,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427801,2020-03-26,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427668,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427687,2020-03-18,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427667,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gall et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427670,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Arnott et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427685,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-04-19
EPI_ISL_417384,2020-03-05,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Eden et al,https://www.gisaid.org,2020-03-25
EPI_ISL_427713,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Bachmann et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427714,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427752,2020-03-24,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427793,2020-03-26,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427740,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-04-19
EPI_ISL_417385,2020-03-06,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-03-25
EPI_ISL_427747,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427684,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427762,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Bachmann et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427765,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427792,2020-03-25,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427695,2020-03-22,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427807,2020-03-23,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gall et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427699,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sim et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427671,2020-03-21,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Bachmann et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427727,2020-03-17,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Lam et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427732,2020-03-17,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427643,2020-02-28,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427649,2020-03-03,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-04-19
EPI_ISL_417387,2020-03-06,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-03-25
EPI_ISL_417388,2020-03-05,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gall et al,https://www.gisaid.org,2020-03-25
EPI_ISL_417390,2020-03-08,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-03-25
EPI_ISL_417392,2020-03-10,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rahman et al,https://www.gisaid.org,2020-03-25
EPI_ISL_427654,2020-03-06,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Sadsad et al,https://www.gisaid.org,2020-04-19
EPI_ISL_427655,2020-03-11,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Draper et al,https://www.gisaid.org,2020-04-19
EPI_ISL_417398,2020-03-11,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Kok et al,https://www.gisaid.org,2020-03-25
EPI_ISL_417403,2020-03-14,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Gray et al,https://www.gisaid.org,2020-03-25
EPI_ISL_417404,2020-03-12,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Timms et al,https://www.gisaid.org,2020-03-25
EPI_ISL_427660,2020-03-10,genome,Centre for Infectious Diseases and Microbiology Public Health,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Rockett et al,https://www.gisaid.org,2020-04-19
